event_type,host_event_ns,link_id,task_id,ifname,thread_name,can_id,seq,nominal_period_ns,planned_release_ns,wakeup_ns,send_call_ns,send_ret,cpu_id,sched_policy,sched_priority
TX,19301511508098,1,0,can10,tx_can10,256,31,1000000,19301511441637,19301511508024,19301511508098,16,1,0,0
TX,19301511593672,3,0,can11,tx_can11,256,29,1000000,19301511529151,19301511593301,19301511593672,16,1,0,0
TX,19301511647634,3,1,can11,tx_can11,257,15,2000000,19301511529151,19301511593301,19301511647634,16,1,0,0
TX,19301511912300,0,0,can00,tx_can00,256,32,1000000,19301511839843,19301511912189,19301511912300,16,2,0,0
TX,19301511701819,3,2,can11,tx_can11,258,3,10000000,19301511529151,19301511593301,19301511701819,16,1,0,0
TX,19301511967707,0,1,can00,tx_can00,257,16,2000000,19301511839843,19301511912189,19301511967707,16,2,0,0
TX,19301511990781,2,0,can01,tx_can01,256,31,1000000,19301511896635,19301511990651,19301511990781,16,0,0,0
TX,19301512513019,1,0,can10,tx_can10,256,32,1000000,19301512441637,19301512512871,19301512513019,16,1,0,0
TX,19301512538686,1,1,can10,tx_can10,257,16,2000000,19301512441637,19301512512871,19301512538686,16,1,0,0
TX,19301512615982,3,0,can11,tx_can11,256,30,1000000,19301512529151,19301512615834,19301512615982,16,3,0,0
TX,19301512970518,0,0,can00,tx_can00,256,33,1000000,19301512839843,19301512970351,19301512970518,16,1,0,0
TX,19301512965406,2,0,can01,tx_can01,256,32,1000000,19301512896635,19301512964851,19301512965406,16,0,0,0
TX,19301513043813,2,1,can01,tx_can01,257,16,2000000,19301512896635,19301512964851,19301513043813,16,0,0,0
TX,19301513511830,1,0,can10,tx_can10,256,33,1000000,19301513441637,19301513511700,19301513511830,16,1,0,0
TX,19301513907976,0,0,can00,tx_can00,256,34,1000000,19301513839843,19301513907828,19301513907976,16,1,0,0
TX,19301513936606,0,1,can00,tx_can00,257,17,2000000,19301513839843,19301513907828,19301513936606,16,1,0,0
TX,19301513969828,3,0,can11,tx_can11,256,31,1000000,19301513529151,19301513969754,19301513969828,16,3,0,0
TX,19301513991643,3,1,can11,tx_can11,257,16,2000000,19301513529151,19301513969754,19301513991643,16,3,0,0
TX,19301513961198,2,0,can01,tx_can01,256,33,1000000,19301513896635,19301513960976,19301513961198,16,0,0,0
TX,19301514510085,1,0,can10,tx_can10,256,34,1000000,19301514441637,19301514509937,19301514510085,16,1,0,0
TX,19301514538418,1,1,can10,tx_can10,257,17,2000000,19301514441637,19301514509937,19301514538418,16,1,0,0
TX,19301514596696,3,0,can11,tx_can11,256,32,1000000,19301514529151,19301514596622,19301514596696,16,3,0,0
TX,19301514914880,0,0,can00,tx_can00,256,35,1000000,19301514839843,19301514914750,19301514914880,16,1,0,0
TX,19301514989176,2,0,can01,tx_can01,256,34,1000000,19301514896635,19301514988935,19301514989176,16,0,0,0
TX,19301515301637,2,1,can01,tx_can01,257,17,2000000,19301514896635,19301514988935,19301515301637,16,0,0,0
TX,19301515596654,3,0,can11,tx_can11,256,33,1000000,19301515529151,19301515596580,19301515596654,16,3,0,0
TX,19301515618728,3,1,can11,tx_can11,257,17,2000000,19301515529151,19301515596580,19301515618728,16,3,0,0
TX,19301515607506,1,0,can10,tx_can10,256,35,1000000,19301515441637,19301515607266,19301515607506,16,1,0,0
TX,19301516027838,2,0,can01,tx_can01,256,35,1000000,19301515896635,19301516027727,19301516027838,16,0,0,0
TX,19301516028930,0,0,can00,tx_can00,256,36,1000000,19301515839843,19301516028782,19301516028930,16,1,0,0
TX,19301516089449,0,1,can00,tx_can00,257,18,2000000,19301515839843,19301516028782,19301516089449,16,1,0,0
