exp_id,thread_name,ifname,can_id,seq,nominal_period_ns,planned_release_ns,wakeup_ns,send_call_ns,send_ret,cpu_id,sched_policy,sched_priority
1,tx_can00,can00,0x110,54,1000000,6677987655719,6677987734192,6677987842636,16,3,0,0
1,tx_can01,can01,0x210,54,1000000,6677987666108,6677987745174,6677987854377,16,2,0,0
1,tx_can00,can00,0x111,27,2000000,6677987655719,6677987889839,6677988053690,16,3,0,0
1,tx_can01,can01,0x211,27,2000000,6677987666108,6677987892358,6677988056967,16,2,0,0
1,tx_can00,can00,0x110,55,1000000,6677988655719,6677988735036,6677988843516,16,3,0,0
1,tx_can01,can01,0x210,55,1000000,6677988666108,6677988744462,6677988855942,16,2,0,0
1,tx_can01,can01,0x210,56,1000000,6677989666108,6677989744175,6677989854193,16,2,0,0
1,tx_can00,can00,0x110,56,1000000,6677989655719,6677989734435,6677989893026,16,3,0,0
1,tx_can01,can01,0x211,28,2000000,6677989666108,6677989900637,6677990043488,16,2,0,0
1,tx_can00,can00,0x111,28,2000000,6677989655719,6677989931526,6677990071525,16,3,0,0
1,tx_can00,can00,0x110,57,1000000,6677990655719,6677990734667,6677990845129,16,3,0,0
1,tx_can01,can01,0x210,57,1000000,6677990666108,6677990744148,6677990856018,16,2,0,0
1,tx_can00,can00,0x110,58,1000000,6677991655719,6677991734399,6677991842195,16,3,0,0
1,tx_can01,can01,0x210,58,1000000,6677991666108,6677991744788,6677991853565,16,2,0,0
1,tx_can00,can00,0x111,29,2000000,6677991655719,6677991888639,6677992050026,16,3,0,0
1,tx_can01,can01,0x211,29,2000000,6677991666108,6677991891528,6677992057563,16,2,0,0
1,tx_can00,can00,0x110,59,1000000,6677992655719,6677992735150,6677992844131,16,3,0,0
1,tx_can01,can01,0x210,59,1000000,6677992666108,6677992745354,6677992855483,16,2,0,0
1,tx_can00,can00,0x100,6,10000000,6677993655719,6677993734253,6677993842974,16,3,0,0
1,tx_can01,can01,0x200,6,10000000,6677993666108,6677993745031,6677993854178,16,2,0,0
1,tx_can00,can00,0x101,3,20000000,6677993655719,6677993890141,6677994030158,16,3,0,0
1,tx_can01,can01,0x201,3,20000000,6677993666108,6677993893233,6677994034991,16,2,0,0
1,tx_can00,can00,0x110,60,1000000,6677993655719,6677994076639,6677994218916,16,3,0,0
1,tx_can01,can01,0x210,60,1000000,6677993666108,6677994079194,6677994223656,16,2,0,0
1,tx_can00,can00,0x111,30,2000000,6677993655719,6677994264545,6677994405414,16,3,0,0
1,tx_can01,can01,0x211,30,2000000,6677993666108,6677994267323,6677994411618,16,2,0,0
1,tx_can00,can00,0x110,61,1000000,6677994655719,6677994734967,6677994843040,16,3,0,0
1,tx_can01,can01,0x210,61,1000000,6677994666108,6677994744578,6677994853429,16,2,0,0
1,tx_can00,can00,0x110,62,1000000,6677995655719,6677995733199,6677995842254,16,3,0,0
1,tx_can01,can01,0x210,62,1000000,6677995666108,6677995745236,6677995854976,16,2,0,0
1,tx_can01,can01,0x211,31,2000000,6677995666108,6677995893457,6677996057307,16,2,0,0
1,tx_can00,can00,0x111,31,2000000,6677995655719,6677995889438,6677996061881,16,3,0,0
1,tx_can00,can00,0x110,63,1000000,6677996655719,6677996733839,6677996842856,16,3,0,0
1,tx_can01,can01,0x210,63,1000000,6677996666108,6677996745561,6677996856041,16,2,0,0
1,tx_can00,can00,0x110,64,1000000,6677997655719,6677997734016,6677997841811,16,3,0,0
1,tx_can01,can01,0x210,64,1000000,6677997666108,6677997745145,6677997854033,16,2,0,0
1,tx_can00,can00,0x111,32,2000000,6677997655719,6677997889070,6677998029143,16,3,0,0
1,tx_can01,can01,0x211,32,2000000,6677997666108,6677997891607,6677998033291,16,2,0,0
1,tx_can00,can00,0x110,65,1000000,6677998655719,6677998733859,6677998841895,16,3,0,0
1,tx_can01,can01,0x210,65,1000000,6677998666108,6677998745544,6677998855636,16,2,0,0
1,tx_can00,can00,0x110,66,1000000,6677999655719,6677999734776,6677999842868,16,3,0,0
1,tx_can01,can01,0x210,66,1000000,6677999666108,6677999744943,6677999856109,16,2,0,0
